property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
Casa Bella Vista	Log Huts Road, Off Old Manali Road	Log Huts Area	Manali	Manali	Himachal Pradesh	India	32.25089806	77.17828607	Cottage	null	0	Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|Local Tour / Travel Desk	10	Three Bedroom Cottages	4	Room Service | Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|TV|Mirror|Attached Bathroom	8	Chandrakhani Pass|Manali 1st Super Market|Log Huts Area|Vashist Hot Water Springs and Temples	4	5	2	1	100	3	3.3	3.7	4	2	3.7	3	2	2a22dec2cea11b927a8ff9937c1bcd57
ChanderMukhi Cottage	Aleo, Manali Nagar Road	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.236735	77.1943747	Hotel	null	2	Babysitting/ Child Care (surcharge)|Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk	8	Deluxe Room	22	Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone	5	Rohtang Pass|Nagar Castle|Hadimba Devi Temple|Vashisht Rishi Temple|Sollang Valley|Manikaran|Aleo, Left Bank|Manali 1st Super Market|Chandrakhani Pass	9	36	7	4	45	11	3.5	3.4	3.7	3.9	3.5	3.6	4.2	9e525b51ac534d2848970958a3630d3d
Chayan Cottage Manali	Chayan Cottage Gadherni , Kanyal Road, Manali	KANYAL ROAD	Manali	Manali	Himachal Pradesh	India	32.21807781	77.18555053	Cottage	null	0	Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Doorman|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk	12	Super Deluxe	12	Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Full Kitchen|Refrigerator|Shower Facility Available|Newspapers| Hot / Cold Running Water|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Slippers|Fruit Basket|Private Garden|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom|Curtains/Shades|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting	23	Kanyal Road|Manali 1st Super Market|Chandrakhani Pass	3	11	0	0	0	0	0	0	0	0	0	0	0	6ddee418f9a78d3d063fc579cba12af6
Cibori Cloud	Kanyal Road, (opp Sojourn  cottage) , Simsa, Manali HP	Kanyal Road	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Cottage	null	0	Barbecue Area|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Pets Allowed|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|Welcome Drinks|Gardens|Dance Performances (on demand)|Kitchen available (home cook food on request)|Veranda|Open Air Restaurant / Dining |Transfers Available| Bike on Rent|Veg / Non Veg Kitchens Separate |Shopping Drop Facility (on fixed timings)|Car Rental|Karaoke |Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Laptop Available on Hire|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Stamps and Mailing Facility	38	Deluxe Room	8	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone|Breakfast Available|Toiletries	8	Kanyal Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples	4	18	6	1	71	7	4.2	4.4	4.2	4.6	4.3	4.2	5	b07e7038f597e3a791fc189f9d7af8aa
Cibori Gold	Apna Cottage , Kanyal Road, opp sixth element, Simsa, Manali HP	Kanyal Road	Manali	Manali	Himachal Pradesh	India	32.22511722	77.18233395	Cottage	null	0	Barbecue Area|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Pets Allowed|Multi Cuisine Restaurant |Local Tour / Travel Desk|Hookah Lounge|Welcome Drinks|Gardens|Computer Rental|Dance Performances (on demand)|Kitchen available (home cook food on request)|Cell Phone Rental|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Open Air Restaurant / Dining |Transfers Available| Bike on Rent|Veg / Non Veg Kitchens Separate |Shopping Drop Facility (on fixed timings)|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Amphitheatre|Karaoke |Campfire / Bon Fire|Food Facility|Internet Access Free| Cook Services|Air / Rail Booking|Baggage Room|Courier Service|Laptop Available on Hire|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Public Restrooms|Speciality Restaurant |Stamps and Mailing Facility	45	Super Deluxe Room	5	Room Service | Hot / Cold Running Water|Housekeeping|Daily Room Cleaning|Dustbins	5	Kanyal Road|Gadham Thekchhokling Gompa|Himalayan Nyingmapa Gompa|Manali 1st Super Market	4	9	5	0	100	5	4.8	4.8	4.4	4.8	4.7	4.7	4.8	e8d4ef889bfb4ad8ff207747a1d51a46
Citrus Manali Resorts	Kullu Manali National Highway, Manali, District Kullu	Others	Manali	Manali	Himachal Pradesh	India	32.20629043	77.19055911	Resort	citrus hotels	4	Bar / Lounge |Business Center |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)	12	Premier Room	112	Room Service |Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Climate Control|Shaving Kit /Dental Kit|Safe - In - Room |Wardrobe|TV|Room Heater|Bathrobes|Mini Refrigerator	20	Others|Himalayan Nyingmapa Gompa|Gadham Thekchhokling Gompa|Manali Bus Stand	4	6	63	4	94	67	4.5	4.5	4.5	4.4	4.6	4.7	4.4	d6aaee6359acb74276cec53220c5bfd0
Conifer Wood Cottages	Simsa, Kanyal Road, Manali Distt: Kullu, H.P - 175131	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Cottage	null	3	Doctor on Call|Parking Facilities Available|Front Desk|Parking Facility|Room Service|First-Aid Kit at Front Desk	6	Two Bedroom Luxury Apartment	4	Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Attached Bathroom	5	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Manu Temple|Village Simsa|Manali Bus Stand|Manali 1st Super Market|Club House	8	9	0	0	0	0	0	0	0	0	0	0	0	e36fcb1784745c8ad34b2fd58095f361
Country Cottage Manali	Nagger Road, Gojra Manali. 175143	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.1103701	77.1629808	Cottage	null	0	Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Barbecue Area|Beauty Salon - on charge|Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Computer Rental|Wedding Services Facility|Translation Services|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Fax Machine|Kitchen available (home cook food on request)|Multi - Line Phone|Fire Place Available |Free Local Calls|Picnic Area|Cell Phone Rental|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Skiing Facility Available|Nature Walk|Smoking Area |Veranda|Open Air Restaurant / Dining | Bike on Rent|Veg / Non Veg Kitchens Separate |Horse Ride ( Chargeable ) |Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Kids Play Zone|Oxygen Cylinder (on request)|Meditation Room|Water Dispenser Available|Self Check - In|Taxi Services|Board Room|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Newspapers In Lobby|Yoga Hall / Classes|Children's Park|Postal / Parcel Services|Family Room|Room Service (24 Hours)| Cook Services|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Internet / Fax (Reception area only)|Adjoining Rooms|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fishing|Ayurvedic Facilities |Trekking|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Flower Shop|Full Time Operation for All 7 Days|Paid Transfers|Public Restrooms|Speciality Restaurant |Stamps and Mailing Facility|Suites	108	SOLANG VALLEY VIEW	6	Room Service |Balcony / Terrace|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Internet Connection In Room|Shower Facility Available|Breakfast Available (surcharge)|Reading Lamps| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Primium Bathrooms|Hill View from all Rooms|HD / LCD Satellite TV |TV|Local Calls Free|Attached Bathroom|Clothes Hook in Bathroom|Daily Room Cleaning|Ice Bucket on Demand|In-room Storage Space|In-Room Safe|Modern Toilet Facilities|Phone Messaging Services|Room Door Fitted with Lock and Key|Rooms with Attached Bathrooms|Telephone in Toilet|Western Toilet Seat	31	Naggar Road	1	22	1	0	100	1	5	5	5	5	5	5	5	073b204544dcf2d4fcbafedf4cba79ed
De Lccas	Village prini PO Prini teh. manaliHimachal Pradesh	Village Prini	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Tent	null	0	Business Center |Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Gardens| Bike on Rent|Room Service (24 Hours)|Parking (Surcharge)|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available|Public Restrooms|Speciality Restaurant	15	Swiss tent	55	Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Coffee Table|HD / LCD Satellite TV |Snacks / Beverage|TV|Room Heater|Mirror	13	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Village Prini|Manu Temple|Manali Bus Stand|Manali 1st Super Market|Club House	8	4	0	0	0	0	0	0	0	0	0	0	0	89321043ccc0c722c45079033561dd9f
De Vivendi Resorts	Naggar Road, Prini, Manali	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.22315133	77.19625687	Resort	null	3	Airport Transfer Available / Surcharge|Bar / Lounge |Doctor on Call|Games Zone|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Multi Cuisine Restaurant |Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Wake-up Call / Service|Fitness Equipment|Conference Facility |Pool Table|Extra Person / Child - Share the same room|Express Laundry|Taxi Services|Mini Theatre|Food Facility|Newspapers In Lobby|Yoga Hall / Classes|Room Service (24 Hours)|RO Water Purification System|Parking Facility	31	Diamond  Room	43	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Window Opens|Makeup / Shaving Mirror|TV|Mirror|Luggage Rack|Attached Bathroom	16	Manali Bus Stand|Rohtang Pass|Hadimba Temple|Manu Temple|Tibetan Monastery|Nehru Kund|Mall Road|Vashist Hot Water Springs and Temples|The Mall Shopping Complex|Kalka Railway Station|Naggar Castle|Tibetan monasteries|Arjun Gufa (Caves)|Jagatsuhk|Himalayan Nyingmapa Gompa|Aleo, Left Bank|Manali 1st Super Market|Tibetan Monasteries|Chandrakhani Pass|Lady Willingdon Hospital|Civil Hospital|Van Vihar	22	22	5	2	42	7	3.9	3.9	3.9	4.1	3.9	4.2	4.1	6436d9a42b4d5f872a156d882d54ce01
Elite Cottage	Near Green Tax Barrier, Prini Nagger highway, Manali	Village Prini	Manali	Manali	Himachal Pradesh	India	32.2312445	77.1877098	Hotel	null	0	Doctor on Call|Front Desk|Room Service|Public Restrooms	4	Deluxe Room	6	Room Service |Daily Room Cleaning|Dustbins	3	Village Prini	1	7	0	0	0	0	0	0	0	0	0	0	0	04eb23ff503ef21c0d93dc43c090a037
everest villa homestay	aleo new manali,Near bhutan monestry aleo po-manali	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.20879685	77.19763754	Hotel	null	0	Laundry Service Available|Parking Facilities Available|Gardens|Kitchen available (home cook food on request)|Food Facility|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available|Suites	11	Deluxe Rooms	20	Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|TV|Daily Room Cleaning|Dustbins|Sufficient Lighting	10	Himalayan Nyingmapa Gompa|Aleo, Left Bank|Gadham Thekchhokling Gompa|Chandrakhani Pass|Manali 1st Super Market	5	6	0	0	0	0	0	0	0	0	0	0	0	1f8ead317b03439c929b4481b9dd4826
Flamingo Resorts	Kanyal Road, Simsa, Manali	Kanyal Road	Manali	Manali	Himachal Pradesh	India	32.2242802	77.18289008	Resort	null	3	Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Doctor on Call|Dry Cleaning|Games Zone|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage|Power Backup|Gardens|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Extra Person / Child - Share the same room|Car Rental|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|RO Water Purification System|Parking Facility	34	Deluxe Room	18	Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Premium Amenities / Toiletries|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Luggage Rack|Attached Bathroom	21	Solang Valley|Manu Temple|Rahala Water Falls|ROHTANG PASS |Tibetan monasteries|Jagatsuhk|Kanyal Road|Chandrakhani Pass|Gadham Thekchhokling Gompa|Himalayan Nyingmapa Gompa|Manali 1st Super Market|Manali Bus Stand|Civil Hospital	13	9	4	4	75	8	2.9	2.7	2.7	3	2.8	2.8	3	5d6b189f22753ac91c022eb2d02c4858
