property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
Ashirwad Homestay	Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,	Rg Baruah Road	Guwahati	Guwahati	Assam	India	26.16618281	91.77741357	Hotel	null	0	Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service	18	Deluxe Ac Suite with Kitchentte	4	Room Service |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mirror	5	Rg Baruah Road|Nehru Stadium|Guwahati Railway Station|Assam State Museum|Guwahati Planetarium	5	13	19	2	90	21	4.3	4.5	4.1	4.2	4.5	3.9	4.5	0e82d18692933c36f3be2928b60ab191
Apna Ghar- Sector 46	Near Botanical Garden Metro Station,Sec  -  46	Others	NOIDA	NOIDA	Uttar Pradesh	India	28.5522379	77.3597194	Guest House	null	0	Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility	16	Deluxe Room	32	Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Safe - In - Room	9	The Great India Place|Worlds of Wonder|Botanical Garden Metro Station|Noida Golf Course Metro Station|Shipra Mall|Others	6	0	0	0	0	0	0	0	0	0	0	0	0	7d3a45fb5a5481f4f28975cebc8dd3c0
Baba Guest House	429, Sector-6, Rohini, Near Vidha Jain Public School	Rohini	Delhi	Delhi	Delhi	India	28.7097476	77.1103954	Guest House	null	0	Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service	9	Standard Room	3	Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|TV|Mirror|Daily Room Cleaning|Dustbins|In-room Storage Space|Sufficient Lighting|Western Toilet Seat	19	North Delhi|Parsavnath Mall Rohini|Metro Walk|Rohini|Jaipur Golden Hospital|Dr. Baba Saheb Ambedkar Hospital	6	6	0	0	0	0	0	0	0	0	0	0	0	45a4f01f95a7cf07713692c32efa9f3f
Baragarh Villa	Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.2459026	77.1880853	Villa	null	4	Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens	6	Royal Suite	4	Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom	6	Naggar Road|Manali 1st Super Market|Chandrakhani Pass|Vashist Hot Water Springs and Temples	4	7	0	0	0	0	0	0	0	0	0	0	0	72968b25d39d6fbc47f342fc6ca80cee
Annapurna Guest House	Titawada, Nerul Bardez Goa	Candolim Area	Goa	Goa	Goa	India	15.5049283	73.7919103	Guest House	null	0		0	AC 1 BHK	2	Air Conditioning |Ceiling Fan|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Breakfast Available|Coffee Table|Split A.C's|TV|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Attached Bathroom	14	Vintage Hospital And Medical Research Centre|Sinquerim Beach|Shanta Durga Temple|Chichekade Bus Stop|Candolim Bus Stop|Candolim Area|Fort Aguada|Miramar Beach|Kala Academy|North Goa|Candolim Beach	11	8	38	0	92	38	4.6	4.6	4.5	4.4	4.8	4.4	4.7	e937f1f395656f529f269d6bc189a52f
ARAVINDAR RESIDENCY	Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory	Thuraipakkam	Chennai	Chennai	Tamil Nadu	India	12.8944628	80.2273584	Hotel	null	0	Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured	10	Deluxe Room	22	Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror	9	Thuraipakkam	1	3	22	6	67	28	3.6	3.5	3.7	3.4	3.8	4	3.8	6c400590e2262416abddeccb148f439f
Balaram Palace Resort	Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat	Banaskantha	Chitrasani	Chitrasani	Gujarat	India	24.26778	72.483507	Palace	null	3	Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service	15	Royal Tent	21	Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Sufficient Lighting|Western Toilet Seat	24	Banaskantha	1	17	0	1	0	1	1	1	1	1	1	1	1	06fd2432c131b986e3dabef63869e0fe
Bhadrawati Safari Lodge	Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar	Ranthambhore	Sawai Madhopur	Sawai Madhopur	Rajasthan	India	26.0065687	76.6037222	Lodge	null	0	Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV	5	Luxury Room	10	Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers	5	Ranthambhore	1	6	0	0	0	0	0	0	0	0	0	0	0	ea07c562f673b643f273ce04dfa9e893
AS Clarks inn	NT Mall Road, Dalhousie ,176304(HP)	The Mall	Dalhousie	Dalhousie	Himachal Pradesh	India	32.537371	75.9824737	Hotel	null	3	Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites	14	Deluxe	10	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone	6	Dainkund Peak|Rang Mahal|The Mall	3	7	50	7	84	57	4.2	4.2	4.1	4.1	4.1	4.2	4.1	091daef6f4cf8e8fc39bac2cf9342e79
Beautiful Alleppey Tours Two Bedroom, Alleppey	Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003	Others	Alleppey	Alleppey	Kerala	India	9.4980667	76.3388484	Houseboat	null	0	Doctor on Call	1	Deluxe Room	2		0	Champakulam Church|Alleppey Railway Station|Others|Alleppey Beach	4	3	0	0	0	0	0	0	0	0	0	0	0	78d6eb4657722af02cdbcabf1c579fb7
Ashiyana	Sinhgad road pune	Pune Bangalore Highway	Pune	Pune	Maharashtra	India	18.47885819	73.82231814	Homestay	null	0	Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites	8	Double Room	5		0	Chaitanya Hospital|Lokmanya Hospitals Joint Replacement Center|Mai Mangeshkar Hospital|Deenanath Mangeshkar Hospital|saras baug|Pune Bangalore Highway|Anandibai Narhar Gadgil Hospital|Krishna Hospital|Parvati Hill|Cipla Cancer &amp; Aids Foundation Care &amp; Training Center|Cipla Cancer & Aids Foundation Care & Training Center	11	2	0	0	0	0	0	0	0	0	0	0	0	67c5e17d1829882a2eea640f7863eebc
ASHIRWAD LODGING	Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.	Railway Station Rd	Nanded	Nanded	Maharashtra	India	19.1382514	77.3209555	Hotel	null	0	Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV	7	NON AC DELUXE	10		0	Railway Station Rd|Shri Guru Gobind Singh Ji Airport	2	4	28	13	87	41	3.2	3.2	3.1	3.9	3.6	3.6	2.9	435632e2bd4d3b81f2e2ad2420769fdf
Aqua Marina Drive Inn	Dadanpatrabar, Mandarmani.	Beach Road	Mandarmani	Mandarmani	West Bengal	India	21.66141333	87.69783314	Resort	null	0	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service	8	Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View)	14	Air Conditioning |Cable / Satellite / Pay TV available|Attached Bathroom	3	Beach Road|Mandarmani Beach	2	6	122	5	92	127	4.5	4.5	4.4	4.4	4.6	4.7	4.6	573304a6989158cd0bad4c755bbcd3b3
Annai Illam Guest House	Nagalore road  Opp petrol bunk,	Yercaud Main Town	Yercaud	Yercaud	Tamil Nadu	India	11.78877598	78.21110564	Guest House	Leisure Hotels	0	Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility	12	Triple bed room	2	Room Service |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom	11	Arthur Seat|Yercaud Main Town|Killiyur Falls	3	7	1	0	100	1	4.6	5	5	4.6	5	4.6	4.6	10fc96c69463e641906a040122dbcee4
Bella Marina Villa	Shuru, PO Prini, Manali	Village Prini	Manali	Manali	Himachal Pradesh	India	32.21280111	77.19837426	Hotel	null	0	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service	16	Deluxe Room	11	Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Daily Room Cleaning|Dustbins	13	Hadimba Temple|Himalayan Nyingmapa Gompa|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Village Prini|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	13	14	1	0	100	1	4	4	4	4	4	4	4	4f232fbf4f2b1c496d77e2a17ec470c9
ATOM Guest House	plot no 56, ghata village, gurgaon	Others	Gurgaon	Gurgaon	Haryana	India	28.4667564	77.0930199	Guest House	null	0	Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk	6	Standard Room	5	Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room	10	Others|Amity International School	2	4	0	0	0	0	0	0	0	0	0	0	0	b8b562d0ae94028f7acd71d83bfcb2d4
Bendmeer Group of House Boat and Resorts	Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir	Dal Lake Area	Srinagar	Srinagar	Jammu and Kashmir	India	34.0988217	74.84297829	Houseboat	null	0	Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Dance Performances (on demand)|Suitable For Children|Separate Sitting Area|Smoking Area |Extra Person / Child - Share the same room|Internet Access Free|Family Room|Air / Rail Booking|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Room Service|Paid Transfers|Security at All Hotel Entrances|Suites	24	Super Deluxe	4	Basic Bathroom Amenities|Ceiling Fan|Hairdryer (on request)|Refrigerator|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Slippers|Premium Amenities / Toiletries|Handheld Showers|Coffee Table|Wardrobe|International Switch Plugs (on request)|TV|Room Heater|Mirror|Luggage Rack|Bathtub|Closet|Bedside Table|Clothes Hook in Bathroom|Daily Room Cleaning|Room with Window/Ventilation|Sanitary Bin|Sufficient Lighting|Western Toilet Seat	27	Dastgir Sahib|Dal Lake Area	2	15	0	0	0	0	0	0	0	0	0	0	0	9f75ad408665c44f1846e138da771bdd
Balaji Resorts	Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe	Others	Pune	Pune	Maharashtra	India	18.2962689	73.637432	Resort	null	0	Doctor on Call|Parking Facilities Available|Front Desk	3	delux room	6	Room Service |Basic Bathroom Amenities|Ceiling Fan|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Extra Bed, Towels, Linens, Bedding (on request)|Makeup / Shaving Mirror|TV|Mirror|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Rooms with Attached Bathrooms|Sufficient Lighting	20	Others	1	7	0	0	0	0	0	0	0	0	0	0	0	f0ecaca226218e94b5f0802d7b2af32b
Asha Sukha Nivas Laudge	Near Central St Stand	Parshuram	Chiplun	Chiplun	Maharashtra	India	17.5323106	73.5177928	Lodge	null	0	Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Room Service|Fire Safety	8	Aircooled	9	Room Service |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Radio|Telephone|Toiletries	9	Sawatsada Waterfall|Parshuram|Walavalkar Shivaji Museum	3	6	0	0	0	0	0	0	0	0	0	0	0	cc3c623536dcb613550637462b2b1d55
AR Suites Fontana Bay	Road No. 2, Central Avenue,Kalyani Nagar	Kalyani Nagar	Pune	Pune	Maharashtra	India	18.5479334	73.90096309	Service Apartment	null	4	Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Gardens|Smoking Area |Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility	24	1 Bedroom	19	Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Kitchenette|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|Makeup / Shaving Mirror|Premium Amenities / Toiletries|Coffee Table|TV|Mirror|Attached Bathroom	28	Aga Khan Palace|Kalyani Nagar|Poona Club Golf Course|Pune Airport|Osho Ashram	5	34	41	0	97	41	4.6	4.5	4.6	4.6	4.6	4.7	4.8	5cb5586a975916d63eb933fd5539580b
